Name,Team,Position,Date,Notes
Bismack Biyombo,Charlotte Hornets,C,24/10/2018,placed on IL
Bismack Biyombo,Charlotte Hornets,C,26/11/2018,placed on IL
Bismack Biyombo,Charlotte Hornets,C,02/12/2018,activated from IL
Bismack Biyombo,Charlotte Hornets,C,07/12/2018,placed on IL
Bismack Biyombo,Charlotte Hornets,C,09/12/2018,activated from IL
Bismack Biyombo,Charlotte Hornets,C,14/12/2018,placed on IL
Bismack Biyombo,Charlotte Hornets,C,29/12/2018,activated from IL
Bismack Biyombo,Charlotte Hornets,C,14/02/2019,placed on IL
Bismack Biyombo,Charlotte Hornets,C,22/02/2019,activated from IL
Bismack Biyombo,Charlotte Hornets,C,08/03/2019,placed on IL with sprained left knee
Bismack Biyombo,Charlotte Hornets,C,09/03/2019,activated from IL
Gordon Hayward,Charlotte Hornets,SF,18/12/2010,placed on IL
Gordon Hayward,Charlotte Hornets,SF,20/12/2010,activated from IL
Gordon Hayward,Charlotte Hornets,SF,17/01/2011,placed on IL with sinus infection
Gordon Hayward,Charlotte Hornets,SF,19/01/2011,activated from IL
Gordon Hayward,Charlotte Hornets,SF,14/03/2011,sprained left foot (DNP)
Gordon Hayward,Charlotte Hornets,SF,28/01/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,30/01/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,01/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,02/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,04/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,06/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,08/02/2013,strained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,09/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,12/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,13/02/2013,sprained right shoulder (DNP)
Gordon Hayward,Charlotte Hornets,SF,10/01/2014,strained left hip flexor (DNP)
Gordon Hayward,Charlotte Hornets,SF,13/01/2014,placed on IL with strained left hip flexor
Gordon Hayward,Charlotte Hornets,SF,21/01/2014,activated from IL
Gordon Hayward,Charlotte Hornets,SF,10/03/2015,strained lower back (DTD)
Gordon Hayward,Charlotte Hornets,SF,12/03/2015,returned to lineup
Gordon Hayward,Charlotte Hornets,SF,23/03/2015,placed on IL with sprained left shoulder
Gordon Hayward,Charlotte Hornets,SF,27/03/2015,activated from IL
Gordon Hayward,Charlotte Hornets,SF,13/04/2015,Achilles injury (out for season)
Gordon Hayward,Charlotte Hornets,SF,15/04/2015,placed on IL with Achilles injury (out for season)
Gordon Hayward,Charlotte Hornets,SF,14/03/2016,plantar faciitis in right foot (DTD)
Gordon Hayward,Charlotte Hornets,SF,19/03/2016,returned to lineup
Gordon Hayward,Charlotte Hornets,SF,07/10/2016,fractured left ring finger (out indefinitely)
Gordon Hayward,Charlotte Hornets,SF,25/10/2016,placed on IL with fractured left ring finger
Gordon Hayward,Charlotte Hornets,SF,06/11/2016,activated from IL
Gordon Hayward,Charlotte Hornets,SF,08/12/2016,left finger injury (DTD)
Gordon Hayward,Charlotte Hornets,SF,10/12/2016,returned to lineup
Gordon Hayward,Charlotte Hornets,SF,27/03/2017,bruised left quadricep (DTD)
Gordon Hayward,Charlotte Hornets,SF,29/03/2017,returned to lineup
Gordon Hayward,Charlotte Hornets,SF,10/04/2017,bruised left quadricep (DTD)
Gordon Hayward,Charlotte Hornets,SF,12/04/2017,returned to lineup
Gordon Hayward,Charlotte Hornets,SF,23/04/2017,food poisoning (DTD)
Gordon Hayward,Charlotte Hornets,SF,24/04/2017,returned to lineup
Gordon Hayward,Charlotte Hornets,SF,17/10/2017,fractured tibia in left leg and dislocated left ankle (out for season)
Gordon Hayward,Charlotte Hornets,SF,18/10/2017,surgery on left ankle/leg to repair fractured tibia and dislocated ankle (out for season)
Gordon Hayward,Charlotte Hornets,SF,18/10/2017,placed on IL with fractured tibia in left leg and dislocated left ankle (out for season)
Gordon Hayward,Charlotte Hornets,SF,20/10/2018,placed on IL with left ankle injury
Gordon Hayward,Charlotte Hornets,SF,22/10/2018,activated from IL
Gordon Hayward,Charlotte Hornets,SF,24/11/2018,placed on IL with sore left ankle
Gordon Hayward,Charlotte Hornets,SF,26/11/2018,activated from IL
Gordon Hayward,Charlotte Hornets,SF,10/12/2018,placed on IL with illness
Gordon Hayward,Charlotte Hornets,SF,14/12/2018,activated from IL
Gordon Hayward,Charlotte Hornets,SF,21/02/2019,placed on IL with sprained right ankle
Gordon Hayward,Charlotte Hornets,SF,23/02/2019,activated from IL
Gordon Hayward,Charlotte Hornets,SF,18/03/2019,placed on IL with concussion
Gordon Hayward,Charlotte Hornets,SF,24/03/2019,activated from IL
Gordon Hayward,Charlotte Hornets,SF,08/04/2019,sore left ankle (DTD)
Gordon Hayward,Charlotte Hornets,SF,09/04/2019,placed on IL with sore left ankle
Gordon Hayward,Charlotte Hornets,SF,13/04/2019,activated from IL
Gordon Hayward,Charlotte Hornets,SF,11/11/2019,placed on IL with fractured left hand
Gordon Hayward,Charlotte Hornets,SF,11/11/2019,surgery on left hand to repair fracture (out indefinitely)
Gordon Hayward,Charlotte Hornets,SF,09/12/2019,activated from IL
Gordon Hayward,Charlotte Hornets,SF,18/12/2019,placed on IL with sore left foot
Gordon Hayward,Charlotte Hornets,SF,25/12/2019,activated from IL
Gordon Hayward,Charlotte Hornets,SF,07/02/2020,placed on IL with sore left foot
Gordon Hayward,Charlotte Hornets,SF,09/02/2020,activated from IL
Gordon Hayward,Charlotte Hornets,SF,04/03/2020,placed on IL with bruised right knee
Gordon Hayward,Charlotte Hornets,SF,08/03/2020,activated from IL
Gordon Hayward,Charlotte Hornets,SF,18/08/2020,sprained right ankle (out for season)
Wes Iwundu,Charlotte Hornets,SF,18/10/2017,placed on IL with strained right hamstring
Wes Iwundu,Charlotte Hornets,SF,20/10/2017,activated from IL
Wes Iwundu,Charlotte Hornets,SF,10/11/2017,placed on IL
Wes Iwundu,Charlotte Hornets,SF,01/12/2017,activated from IL
Wes Iwundu,Charlotte Hornets,SF,28/03/2018,illness (DTD)
Wes Iwundu,Charlotte Hornets,SF,01/04/2018,returned to lineup
Wes Iwundu,Charlotte Hornets,SF,31/07/2020,placed on IL with stiff neck
Wes Iwundu,Charlotte Hornets,SF,02/08/2020,activated from IL
Cody Martin,Charlotte Hornets,SF,07/02/2020,concussion (DTD)
Cody Martin,Charlotte Hornets,SF,08/02/2020,placed on IL with concussion
Cody Martin,Charlotte Hornets,SF,20/02/2020,activated from IL
Kelly Oubre Jr.,Charlotte Hornets,SG,18/12/2016,concussion (DTD)
Kelly Oubre Jr.,Charlotte Hornets,SG,19/12/2016,returned to lineup
Kelly Oubre Jr.,Charlotte Hornets,SG,04/03/2018,sore left foot (DTD)
Kelly Oubre Jr.,Charlotte Hornets,SG,06/03/2018,returned to lineup
Kelly Oubre Jr.,Charlotte Hornets,SG,16/12/2018,placed on IL
Kelly Oubre Jr.,Charlotte Hornets,SG,19/12/2018,activated from IL
Kelly Oubre Jr.,Charlotte Hornets,SG,18/03/2019,placed on IL with sprained left thumb (out for season)
Kelly Oubre Jr.,Charlotte Hornets,SG,15/01/2020,concussion (DTD)
Kelly Oubre Jr.,Charlotte Hornets,SG,16/01/2020,placed on IL with concussion
Kelly Oubre Jr.,Charlotte Hornets,SG,20/01/2020,activated from IL
Kelly Oubre Jr.,Charlotte Hornets,SG,25/02/2020,right knee injury (out for season)
Kelly Oubre Jr.,Charlotte Hornets,SG,26/02/2020,placed on IL with right knee injury (out for season)
Kelly Oubre Jr.,Charlotte Hornets,SG,03/03/2020,surgery on right knee (out indefinitely)
Mason Plumlee,Charlotte Hornets,C,30/01/2018,placed on IL with strained right calf
Mason Plumlee,Charlotte Hornets,C,23/02/2018,activated from IL
Mason Plumlee,Charlotte Hornets,C,09/03/2018,placed on IL
Mason Plumlee,Charlotte Hornets,C,26/04/2018,surgery to repair core muscle injury (out for season)
Mason Plumlee,Charlotte Hornets,C,25/01/2019,"fined $25,000 by NBA for altercation with opposing player during game"
Mason Plumlee,Charlotte Hornets,C,22/01/2020,placed on IL with right foot injury
Mason Plumlee,Charlotte Hornets,C,20/02/2020,activated from IL
Terry Rozier,Charlotte Hornets,SG,20/11/2015,placed on IL
Terry Rozier,Charlotte Hornets,SG,22/11/2015,activated from IL
Terry Rozier,Charlotte Hornets,SG,30/12/2015,placed on IL
Terry Rozier,Charlotte Hornets,SG,24/01/2016,activated from IL
Terry Rozier,Charlotte Hornets,SG,27/01/2016,placed on IL
Terry Rozier,Charlotte Hornets,SG,31/01/2016,activated from IL
Terry Rozier,Charlotte Hornets,SG,03/02/2016,placed on IL
Terry Rozier,Charlotte Hornets,SG,05/02/2016,activated from IL
Terry Rozier,Charlotte Hornets,SG,03/04/2018,placed on IL with sprained left ankle / sprained left knee
Terry Rozier,Charlotte Hornets,SG,04/04/2018,activated from IL
Terry Rozier,Charlotte Hornets,SG,11/04/2018,placed on IL for rest
Terry Rozier,Charlotte Hornets,SG,15/04/2018,activated from IL
Terry Rozier,Charlotte Hornets,SG,13/02/2019,placed on IL with illness
Terry Rozier,Charlotte Hornets,SG,21/02/2019,activated from IL
Terry Rozier,Charlotte Hornets,SG,27/02/2019,placed on IL with sore left knee
Terry Rozier,Charlotte Hornets,SG,01/03/2019,activated from IL
Terry Rozier,Charlotte Hornets,SG,14/03/2019,placed on IL with illness
Terry Rozier,Charlotte Hornets,SG,16/03/2019,activated from IL
Terry Rozier,Charlotte Hornets,SG,12/02/2020,placed on IL with sore left knee
Terry Rozier,Charlotte Hornets,SG,20/02/2020,activated from IL
Terry Rozier,Charlotte Hornets,SG,11/03/2020,placed on IL with illness
Terry Rozier,Charlotte Hornets,SG,29/07/2020,activated from IL
Ish Smith,Charlotte Hornets,PG,30/10/2010,placed on IL
Ish Smith,Charlotte Hornets,PG,06/11/2010,activated from IL
Ish Smith,Charlotte Hornets,PG,19/12/2010,placed on IL
Ish Smith,Charlotte Hornets,PG,05/01/2011,activated from IL
Ish Smith,Charlotte Hornets,PG,14/01/2011,placed on IL
Ish Smith,Charlotte Hornets,PG,24/01/2011,activated from IL
Ish Smith,Charlotte Hornets,PG,01/02/2011,placed on IL
Ish Smith,Charlotte Hornets,PG,07/02/2011,activated from IL
Ish Smith,Charlotte Hornets,PG,26/02/2011,placed on IL
Ish Smith,Charlotte Hornets,PG,04/03/2011,activated from IL
Ish Smith,Charlotte Hornets,PG,18/03/2012,placed on IL
Ish Smith,Charlotte Hornets,PG,19/03/2012,activated from IL
Ish Smith,Charlotte Hornets,PG,23/02/2013,placed on IL
Ish Smith,Charlotte Hornets,PG,09/03/2013,activated from IL
Ish Smith,Charlotte Hornets,PG,27/03/2013,placed on IL
Ish Smith,Charlotte Hornets,PG,28/03/2013,activated from IL
Ish Smith,Charlotte Hornets,PG,11/04/2015,strained left groin (DTD)
Ish Smith,Charlotte Hornets,PG,13/04/2015,returned to lineup
Ish Smith,Charlotte Hornets,PG,06/02/2016,sprained left ankle (DTD)
Ish Smith,Charlotte Hornets,PG,08/02/2016,returned to lineup
Ish Smith,Charlotte Hornets,PG,07/12/2018,placed on IL with right adductor injury
Ish Smith,Charlotte Hornets,PG,14/01/2019,activated from IL
Ish Smith,Charlotte Hornets,PG,19/01/2019,placed on IL with right adductor injury
Ish Smith,Charlotte Hornets,PG,02/02/2019,activated from IL
Ish Smith,Charlotte Hornets,PG,05/02/2019,placed on IL with right adductor injury
Ish Smith,Charlotte Hornets,PG,08/02/2019,activated from IL
Ish Smith,Charlotte Hornets,PG,04/03/2020,left hamstring injury (DTD)
Ish Smith,Charlotte Hornets,PG,08/03/2020,placed on IL with left hamstring injury
Ish Smith,Charlotte Hornets,PG,31/07/2020,activated from IL
Brad Wanamaker,Charlotte Hornets,PG,26/02/2019,illness (DTD)
Brad Wanamaker,Charlotte Hornets,PG,27/02/2019,returned to lineup
P.J. Washington,Charlotte Hornets,PF,14/12/2019,fractured finger (out indefinitely)
P.J. Washington,Charlotte Hornets,PF,17/12/2019,placed on IL with fractured finger
P.J. Washington,Charlotte Hornets,PF,27/12/2019,activated from IL
P.J. Washington,Charlotte Hornets,PF,01/02/2020,sprained right ankle (DTD)
P.J. Washington,Charlotte Hornets,PF,03/02/2020,placed on IL with sprained right ankle
P.J. Washington,Charlotte Hornets,PF,04/02/2020,activated from IL
Bam Adebayo,Miami Heat,C,27/03/2018,sprained right ankle (DTD)
Bam Adebayo,Miami Heat,C,27/03/2018,placed on IL with sprained right ankle
Bam Adebayo,Miami Heat,C,29/03/2018,activated from IL
Bam Adebayo,Miami Heat,C,14/08/2020,placed on IL with sore right knee
Bam Adebayo,Miami Heat,C,18/08/2020,activated from IL
Bam Adebayo,Miami Heat,C,30/09/2020,strained left shoulder (DTD)
Bam Adebayo,Miami Heat,C,02/10/2020,strained neck (DTD)
Bam Adebayo,Miami Heat,C,06/10/2020,returned to lineup
Jimmy Butler,Miami Heat,SF,21/11/2013,placed on IL with turf toe
Jimmy Butler,Miami Heat,SF,13/12/2013,activated from IL
Jimmy Butler,Miami Heat,SF,21/12/2013,sprained right ankle (DNP)
Jimmy Butler,Miami Heat,SF,11/01/2014,bruised thigh (DNP)
Jimmy Butler,Miami Heat,SF,23/02/2014,bruised ribs (DNP)
Jimmy Butler,Miami Heat,SF,25/02/2014,bruised ribs (DNP)
Jimmy Butler,Miami Heat,SF,29/10/2014,placed on IL with sprained left thumb
Jimmy Butler,Miami Heat,SF,01/11/2014,activated from IL
Jimmy Butler,Miami Heat,SF,27/01/2015,placed on IL with illness
Jimmy Butler,Miami Heat,SF,29/01/2015,activated from IL
Jimmy Butler,Miami Heat,SF,12/02/2015,placed on IL with strained right shoulder
Jimmy Butler,Miami Heat,SF,20/02/2015,activated from IL
Jimmy Butler,Miami Heat,SF,02/03/2015,sprained left elbow (DTD)
Jimmy Butler,Miami Heat,SF,03/03/2015,placed on IL with sprained left elbow
Jimmy Butler,Miami Heat,SF,23/03/2015,activated from IL
Jimmy Butler,Miami Heat,SF,09/04/2015,placed on IL with calf injury
Jimmy Butler,Miami Heat,SF,11/04/2015,activated from IL
Jimmy Butler,Miami Heat,SF,03/02/2016,left knee tendinitis (DTD)
Jimmy Butler,Miami Heat,SF,05/02/2016,returned to lineup
Jimmy Butler,Miami Heat,SF,06/02/2016,sprained left knee (DTD)
Jimmy Butler,Miami Heat,SF,05/03/2016,returned to lineup
Jimmy Butler,Miami Heat,SF,07/03/2016,strained/swollen left knee (DTD)
Jimmy Butler,Miami Heat,SF,14/03/2016,returned to lineup
Jimmy Butler,Miami Heat,SF,10/01/2017,placed on IL with illness
Jimmy Butler,Miami Heat,SF,14/01/2017,activated from IL
Jimmy Butler,Miami Heat,SF,03/02/2017,bruised right heel (DTD)
Jimmy Butler,Miami Heat,SF,10/02/2017,returned to lineup
Jimmy Butler,Miami Heat,SF,12/02/2017,bruised right heel (DTD)
Jimmy Butler,Miami Heat,SF,14/02/2017,returned to lineup
Jimmy Butler,Miami Heat,SF,24/10/2017,upper respiratory illness (DTD)
Jimmy Butler,Miami Heat,SF,25/10/2017,placed on IL with upper respiratory illness
Jimmy Butler,Miami Heat,SF,27/10/2017,activated from IL
Jimmy Butler,Miami Heat,SF,20/01/2018,sore right knee (DTD)
Jimmy Butler,Miami Heat,SF,27/01/2018,returned to lineup
Jimmy Butler,Miami Heat,SF,24/02/2018,placed on IL with meniscus injury in right knee
Jimmy Butler,Miami Heat,SF,25/02/2018,surgery on right knee to repair meniscus injury
Jimmy Butler,Miami Heat,SF,06/04/2018,activated from IL
Jimmy Butler,Miami Heat,SF,20/10/2018,placed on IL
Jimmy Butler,Miami Heat,SF,22/10/2018,activated from IL
Jimmy Butler,Miami Heat,SF,31/10/2018,placed on IL
Jimmy Butler,Miami Heat,SF,02/11/2018,activated from IL
Jimmy Butler,Miami Heat,SF,04/11/2018,placed on IL
Jimmy Butler,Miami Heat,SF,05/11/2018,activated from IL
Jimmy Butler,Miami Heat,SF,12/11/2018,placed on IL
Jimmy Butler,Miami Heat,SF,14/11/2018,activated from IL
Jimmy Butler,Miami Heat,SF,12/12/2018,placed on IL with strained groin
Jimmy Butler,Miami Heat,SF,16/12/2018,activated from IL
Jimmy Butler,Miami Heat,SF,02/01/2019,placed on IL with upper respiratory infection
Jimmy Butler,Miami Heat,SF,08/01/2019,activated from IL
Jimmy Butler,Miami Heat,SF,21/01/2019,placed on IL with sprained right wrist
Jimmy Butler,Miami Heat,SF,29/01/2019,activated from IL
Jimmy Butler,Miami Heat,SF,01/04/2019,placed on IL with back injury
Jimmy Butler,Miami Heat,SF,03/04/2019,activated from IL
Jimmy Butler,Miami Heat,SF,04/04/2019,placed on IL with back injury
Jimmy Butler,Miami Heat,SF,09/04/2019,activated from IL
Jimmy Butler,Miami Heat,SF,10/04/2019,placed on IL with tightness in lower back
Jimmy Butler,Miami Heat,SF,12/04/2019,activated from IL
Jimmy Butler,Miami Heat,SF,27/11/2019,illness (DTD)
Jimmy Butler,Miami Heat,SF,29/11/2019,returned to lineup
Jimmy Butler,Miami Heat,SF,05/01/2020,sore lower back (DTD)
Jimmy Butler,Miami Heat,SF,08/01/2020,returned to lineup
Jimmy Butler,Miami Heat,SF,20/01/2020,right hip injury (DTD)
Jimmy Butler,Miami Heat,SF,22/01/2020,returned to lineup
Jimmy Butler,Miami Heat,SF,07/02/2020,strained right shoulder (DTD)
Jimmy Butler,Miami Heat,SF,09/02/2020,placed on IL with strained right shoulder
Jimmy Butler,Miami Heat,SF,10/02/2020,activated from IL
Jimmy Butler,Miami Heat,SF,11/03/2020,placed on IL with left big toe injury
Jimmy Butler,Miami Heat,SF,31/07/2020,activated from IL
Jimmy Butler,Miami Heat,SF,04/08/2020,placed on IL with sore right ankle
Jimmy Butler,Miami Heat,SF,10/08/2020,activated from IL
Jimmy Butler,Miami Heat,SF,13/08/2020,sore right foot (DTD)
Jimmy Butler,Miami Heat,SF,18/08/2020,returned to lineup
Dewayne Dedmon,Miami Heat,C,12/03/2014,activated from IL
Dewayne Dedmon,Miami Heat,C,23/01/2015,placed on IL
Dewayne Dedmon,Miami Heat,C,26/01/2015,activated from IL
Dewayne Dedmon,Miami Heat,C,18/03/2015,sprained left ankle (DTD)
Dewayne Dedmon,Miami Heat,C,25/03/2015,returned to lineup
Dewayne Dedmon,Miami Heat,C,27/03/2015,sore left ankle (DTD)
Dewayne Dedmon,Miami Heat,C,01/04/2015,returned to lineup
Dewayne Dedmon,Miami Heat,C,03/02/2016,placed on IL with foot injury
Dewayne Dedmon,Miami Heat,C,05/02/2016,activated from IL
Dewayne Dedmon,Miami Heat,C,19/02/2016,placed on IL with illness
Dewayne Dedmon,Miami Heat,C,21/02/2016,activated from IL
Dewayne Dedmon,Miami Heat,C,15/11/2016,sprained left knee (DTD)
Dewayne Dedmon,Miami Heat,C,16/11/2016,placed on IL with sprained left knee
Dewayne Dedmon,Miami Heat,C,29/11/2016,activated from IL
Dewayne Dedmon,Miami Heat,C,22/04/2017,placed on IL with illness
Dewayne Dedmon,Miami Heat,C,25/04/2017,activated from IL
Dewayne Dedmon,Miami Heat,C,29/11/2017,stress reaction in left tibia (DTD)
Dewayne Dedmon,Miami Heat,C,30/11/2017,placed on IL with stress reaction in left tibia
Dewayne Dedmon,Miami Heat,C,08/01/2018,activated from IL
Dewayne Dedmon,Miami Heat,C,03/04/2018,sore ribs (DTD)
Dewayne Dedmon,Miami Heat,C,04/04/2018,returned to lineup
Dewayne Dedmon,Miami Heat,C,16/10/2018,left ankle injury (DTD)
Dewayne Dedmon,Miami Heat,C,17/10/2018,placed on IL with left ankle injury
Dewayne Dedmon,Miami Heat,C,24/10/2018,activated from IL
Dewayne Dedmon,Miami Heat,C,29/12/2018,placed on IL with sore left knee
Dewayne Dedmon,Miami Heat,C,02/01/2019,activated from IL
Dewayne Dedmon,Miami Heat,C,13/01/2019,sprained left ankle (DTD)
Dewayne Dedmon,Miami Heat,C,15/01/2019,placed on IL with sprained left ankle
Dewayne Dedmon,Miami Heat,C,19/01/2019,activated from IL
Dewayne Dedmon,Miami Heat,C,06/03/2019,placed on IL with bruised right knee
Dewayne Dedmon,Miami Heat,C,10/03/2019,activated from IL
Dewayne Dedmon,Miami Heat,C,30/03/2019,sore left ankle (out for season)
Dewayne Dedmon,Miami Heat,C,31/03/2019,placed on IL with sore left ankle (out for season)
Dewayne Dedmon,Miami Heat,C,01/02/2020,placed on IL with flu
Dewayne Dedmon,Miami Heat,C,03/02/2020,activated from IL
Dewayne Dedmon,Miami Heat,C,26/02/2020,placed on IL with right elbow injury
Dewayne Dedmon,Miami Heat,C,06/03/2020,activated from IL
Udonis Haslem,Miami Heat,PF,22/11/2010,placed on IL with torn ligament in left foot (out for season)
Udonis Haslem,Miami Heat,PF,23/11/2010,surgery on left foot to repair torn ligament (out for season)
Udonis Haslem,Miami Heat,PF,09/05/2011,activated from IL
Udonis Haslem,Miami Heat,PF,13/04/2012,placed on IL with stomach virus
Udonis Haslem,Miami Heat,PF,15/04/2012,activated from IL
Udonis Haslem,Miami Heat,PF,10/12/2012,placed on IL with illness
Udonis Haslem,Miami Heat,PF,12/12/2012,activated from IL
Udonis Haslem,Miami Heat,PF,29/12/2012,placed on IL with shoulder injury
Udonis Haslem,Miami Heat,PF,31/12/2012,activated from IL
Udonis Haslem,Miami Heat,PF,14/02/2013,placed on IL with leg injury
Udonis Haslem,Miami Heat,PF,20/02/2013,activated from IL
Udonis Haslem,Miami Heat,PF,10/04/2013,sprained right ankle (DNP)
Udonis Haslem,Miami Heat,PF,12/04/2013,placed on IL
Udonis Haslem,Miami Heat,PF,17/04/2013,activated from IL
Udonis Haslem,Miami Heat,PF,09/11/2013,placed on IL with back spasms
Udonis Haslem,Miami Heat,PF,12/11/2013,activated from IL
Udonis Haslem,Miami Heat,PF,15/11/2013,back spasms (DNP)
Udonis Haslem,Miami Heat,PF,16/11/2013,back spasms (DNP)
Udonis Haslem,Miami Heat,PF,08/04/2014,stomach virus (DNP)
Udonis Haslem,Miami Heat,PF,09/04/2014,stomach virus (DNP)
Udonis Haslem,Miami Heat,PF,01/11/2014,placed on IL with strained left quadriceps
Udonis Haslem,Miami Heat,PF,05/11/2014,activated from IL
Udonis Haslem,Miami Heat,PF,05/11/2014,strained left quadriceps (DTD)
Udonis Haslem,Miami Heat,PF,09/03/2015,wrist injury (DTD)
Udonis Haslem,Miami Heat,PF,11/03/2015,returned to lineup
Udonis Haslem,Miami Heat,PF,31/03/2015,illness (DTD)
Udonis Haslem,Miami Heat,PF,04/04/2015,returned to lineup
Udonis Haslem,Miami Heat,PF,27/02/2016,illness (DTD)
Udonis Haslem,Miami Heat,PF,01/03/2016,returned to lineup
Udonis Haslem,Miami Heat,PF,13/04/2016,foot injury (DTD)
Udonis Haslem,Miami Heat,PF,17/04/2016,returned to lineup
Udonis Haslem,Miami Heat,PF,28/12/2018,illness (DTD)
Udonis Haslem,Miami Heat,PF,30/12/2018,returned to lineup
Udonis Haslem,Miami Heat,PF,22/10/2019,sprained left wrist (DTD)
Udonis Haslem,Miami Heat,PF,23/10/2019,placed on IL with sprained left wrist (DTD)
Udonis Haslem,Miami Heat,PF,26/10/2019,activated from IL
Udonis Haslem,Miami Heat,PF,29/10/2019,returned to lineup
Udonis Haslem,Miami Heat,PF,07/11/2019,stomach illness (DTD)
Udonis Haslem,Miami Heat,PF,08/11/2019,returned to lineup
Udonis Haslem,Miami Heat,PF,25/11/2019,illness (DTD)
Udonis Haslem,Miami Heat,PF,27/11/2019,returned to lineup
Tyler Herro,Miami Heat,PG,12/11/2019,sprained left ankle (DTD)
Tyler Herro,Miami Heat,PG,14/11/2019,returned to lineup
Tyler Herro,Miami Heat,PG,15/01/2020,bruised left knee (DTD)
Tyler Herro,Miami Heat,PG,19/01/2020,returned to lineup
Tyler Herro,Miami Heat,PG,04/02/2020,sore right ankle (DTD)
Tyler Herro,Miami Heat,PG,05/02/2020,placed on IL with sore right ankle
Tyler Herro,Miami Heat,PG,11/03/2020,activated from IL
Kyle Lowry,Miami Heat,PG,26/10/2010,placed on IL with back spasms
Kyle Lowry,Miami Heat,PG,30/10/2010,activated from IL
Kyle Lowry,Miami Heat,PG,03/11/2010,activated from IL
Kyle Lowry,Miami Heat,PG,06/11/2010,placed on IL with sore back
Kyle Lowry,Miami Heat,PG,10/11/2010,activated from IL
Kyle Lowry,Miami Heat,PG,09/04/2011,sore left foot / knee (CBC) (DNP)
Kyle Lowry,Miami Heat,PG,11/04/2011,sore left foot (DNP)
Kyle Lowry,Miami Heat,PG,13/04/2011,sore left foot / knee (CBC) (DNP)
Kyle Lowry,Miami Heat,PG,06/01/2012,bruised right foot (DTD)
Kyle Lowry,Miami Heat,PG,07/01/2012,bruised right foot (DTD)
Kyle Lowry,Miami Heat,PG,10/03/2012,placed on IL with illness / bacterial infection
Kyle Lowry,Miami Heat,PG,01/04/2012,bacterial infection (DNP) (F)
Kyle Lowry,Miami Heat,PG,02/04/2012,bacterial/sinus infection (DNP) (F)
Kyle Lowry,Miami Heat,PG,08/04/2012,activated from IL (P)
Kyle Lowry,Miami Heat,PG,22/04/2012,hernia (out for season)
Kyle Lowry,Miami Heat,PG,26/04/2012,hernia (DNP)
Kyle Lowry,Miami Heat,PG,01/05/2012,surgery to repair sports hernia (out indefinitely)
Kyle Lowry,Miami Heat,PG,07/11/2012,placed on IL with sprained right ankle / bone bruise in right foot
Kyle Lowry,Miami Heat,PG,20/11/2012,activated from IL
Kyle Lowry,Miami Heat,PG,12/12/2012,torn right triceps (DNP)
Kyle Lowry,Miami Heat,PG,14/12/2012,placed on IL with torn right triceps
Kyle Lowry,Miami Heat,PG,28/12/2012,activated from IL
Kyle Lowry,Miami Heat,PG,28/01/2013,back spasms (DNP)
Kyle Lowry,Miami Heat,PG,02/04/2014,placed on IL with sore left knee
Kyle Lowry,Miami Heat,PG,09/04/2014,activated from IL
Kyle Lowry,Miami Heat,PG,28/02/2015,placed on IL for rest
Kyle Lowry,Miami Heat,PG,02/03/2015,various injuries (DTD)
Kyle Lowry,Miami Heat,PG,06/03/2015,returned to lineup
Kyle Lowry,Miami Heat,PG,06/03/2015,activated from IL
Kyle Lowry,Miami Heat,PG,22/03/2015,placed on IL with back injury / rest (DTD)
Kyle Lowry,Miami Heat,PG,24/03/2015,activated from IL
Kyle Lowry,Miami Heat,PG,25/03/2015,placed on IL with back spasms
Kyle Lowry,Miami Heat,PG,10/04/2015,activated from IL
Kyle Lowry,Miami Heat,PG,28/02/2016,rest (DTD)
Kyle Lowry,Miami Heat,PG,02/03/2016,returned to lineup
Kyle Lowry,Miami Heat,PG,23/03/2016,sore right elbow (DTD)
Kyle Lowry,Miami Heat,PG,25/03/2016,returned to lineup
Kyle Lowry,Miami Heat,PG,02/04/2016,placed on IL
Kyle Lowry,Miami Heat,PG,05/04/2016,activated from IL
Kyle Lowry,Miami Heat,PG,08/04/2016,rest (DTD)
Kyle Lowry,Miami Heat,PG,10/04/2016,returned to lineup
Kyle Lowry,Miami Heat,PG,13/04/2016,rest (DTD)
Kyle Lowry,Miami Heat,PG,16/04/2016,returned to lineup
Kyle Lowry,Miami Heat,PG,24/02/2017,placed on IL with sore right wrist
Kyle Lowry,Miami Heat,PG,27/02/2017,surgery on right wrist to remove loose bodies (out indefinitely) (date approximate)
Kyle Lowry,Miami Heat,PG,05/04/2017,activated from IL
Kyle Lowry,Miami Heat,PG,05/05/2017,sprained left ankle (DTD)
Kyle Lowry,Miami Heat,PG,07/05/2017,placed on IL with sprained left ankle
